Depth,Temperature,Oxygen,Irradiance,Salinity
563,11.6518,4.02486,1.00E-12,35.9492
563.5,11.6526,4.01906,1.00E-12,35.95
564,11.6534,4.01956,1.00E-12,35.9508
564.5,11.6541,4.01754,1.00E-12,35.9514
565,11.6549,4.01547,1.00E-12,35.9521
565.5,11.6557,4.01738,1.00E-12,35.953
566,11.6567,4.01758,1.00E-12,35.954
566.5,11.6578,4.01689,1.00E-12,35.9552
567,11.659,4.01322,1.00E-12,35.9565
567.5,11.6599,4.01092,1.00E-12,35.9575
568,11.6606,4.01066,1.00E-12,35.9582
568.5,11.661,4.0102,1.00E-12,35.9586
569,11.6615,4.01298,1.00E-12,35.9589
569.5,11.6619,4.01279,1.00E-12,35.9592
570,11.6624,4.01234,1.00E-12,35.9595
570.5,11.6628,4.01408,1.00E-12,35.9598
571,11.6633,4.01301,1.00E-12,35.96
571.5,11.6638,4.01509,1.00E-12,35.9603
572,11.6643,4.01488,1.00E-12,35.9606
572.5,11.6647,4.01446,1.00E-12,35.9607
573,11.6651,4.01218,1.00E-12,35.9609
573.5,11.6657,4.0107,1.00E-12,35.9612
574,11.6663,4.01354,1.00E-12,35.9616
574.5,11.6668,4.01281,1.00E-12,35.962
575,11.6672,4.01198,1.00E-12,35.9623
575.5,11.6675,4.01133,1.00E-12,35.9626
576,11.668,4.01344,1.00E-12,35.9631
576.5,11.6686,4.01431,1.00E-12,35.9636
577,11.669,4.01425,1.00E-12,35.9641
577.5,11.6695,4.01299,1.00E-12,35.9645
578,11.6698,4.00971,1.00E-12,35.9647
578.5,11.6701,4.00796,1.00E-12,35.965
579,11.6705,4.00475,1.00E-12,35.9652
579.5,11.6708,4.00425,1.00E-12,35.9655
580,11.6713,4.00107,1.00E-12,35.9659
580.5,11.6718,3.99987,1.00E-12,35.9665
581,11.6726,4.0017,1.00E-12,35.9673
581.5,11.6729,4.00789,1.00E-12,35.9676
582,11.6731,4.00879,1.00E-12,35.9677
582.5,11.6732,4.01044,1.00E-12,35.9677
583,11.6734,4.00568,1.00E-12,35.9677
583.5,11.6735,4.00401,1.00E-12,35.9677
584,11.6737,4.00281,1.00E-12,35.9677
584.5,11.6739,4.0009,1.00E-12,35.9678
585,11.6741,3.99928,1.00E-12,35.9678
585.5,11.6743,4.00059,1.00E-12,35.9678
586,11.6745,4.00084,1.00E-12,35.9679
586.5,11.6748,4.00071,1.00E-12,35.9683
587,11.6751,4.0009,1.00E-12,35.9685
587.5,11.6753,3.99978,1.00E-12,35.9687
588,11.6755,3.99643,1.00E-12,35.9688
588.5,11.6757,3.99618,1.00E-12,35.9689
589,11.6758,3.99506,1.00E-12,35.9689
589.5,11.676,3.99465,1.00E-12,35.9688
590,11.6765,3.99631,1.00E-12,35.9686
